region_a,region_b,boundary_pixels,palette_a,palette_b,delta_e76
1,15,122,0,2,52.09777
1,21,146,0,3,52.16581
2,16,126,0,2,52.09777
2,21,146,0,3,52.16581
3,15,64,0,2,52.09777
4,16,64,0,2,52.09777
5,10,8,0,1,27.02044
5,13,8,0,1,27.02044
5,14,10,0,1,27.02044
5,17,391,0,2,52.09777
5,21,194,0,3,52.16581
5,22,506,0,3,52.16581
5,26,46,0,4,46.66967
5,29,13,0,5,36.63028
5,35,22,0,7,63.23116
6,10,27,0,1,27.02044
6,18,105,0,2,52.09777
6,21,154,0,3,52.16581
6,23,191,0,3,52.16581
6,24,26,0,3,52.16581
6,27,53,0,4,46.66967
6,30,36,0,5,36.63028
7,21,78,0,3,52.16581
8,19,160,1,3,27.86241
9,20,160,1,3,27.86241
10,11,9,1,1,0.0
10,17,4,1,2,55.38125
10,18,4,1,2,55.38125
10,21,49,1,3,27.86241
10,22,130,1,3,27.86241
10,23,243,1,3,27.86241
10,24,134,1,3,27.86241
10,33,6,1,6,55.56704
11,13,8,1,1,0.0
11,21,54,1,3,27.86241
11,22,165,1,3,27.86241
12,22,410,1,3,27.86241
13,21,21,1,3,27.86241
13,22,181,1,3,27.86241
14,22,210,1,3,27.86241
17,26,10,2,4,44.30011
17,33,405,2,6,6.56522
18,27,10,2,4,44.30011
18,33,109,2,6,6.56522
19,29,83,3,5,65.52763
19,32,172,3,6,53.60595
19,34,97,3,7,70.30027
20,25,107,3,4,54.92358
20,28,7,3,5,65.52763
20,30,12,3,5,65.52763
20,32,125,3,6,53.60595
20,34,113,3,7,70.30027
21,29,2,3,5,65.52763
21,30,2,3,5,65.52763
21,32,308,3,6,53.60595
25,34,109,4,7,18.55128
26,35,34,4,7,18.55128
27,30,41,4,5,21.27363
28,32,91,5,6,53.08289
28,34,182,5,7,31.44414
29,32,73,5,6,53.08289
29,33,261,5,6,53.08289
29,34,614,5,7,31.44414
29,35,136,5,7,31.44414
30,32,64,5,6,53.08289
30,33,280,5,6,53.08289
30,34,538,5,7,31.44414
31,34,420,6,7,62.49595
32,34,15,6,7,62.49595
33,34,10,6,7,62.49595
33,35,20,6,7,62.49595
