region_a,region_b,boundary_pixels,palette_a,palette_b,delta_e76
1,93,1,0,3,52.16581
1,99,3,0,4,46.66967
2,56,1,0,1,27.02044
2,100,2,0,4,46.66967
2,141,1,0,7,63.23116
3,93,4,0,3,52.16581
3,126,4,0,5,36.63028
4,62,1,0,1,27.02044
4,93,1,0,3,52.16581
4,99,2,0,4,46.66967
5,66,2,0,1,27.02044
5,69,1,0,1,27.02044
5,93,3,0,3,52.16581
5,103,1,0,4,46.66967
5,104,1,0,4,46.66967
5,129,2,0,5,36.63028
5,141,2,0,7,63.23116
6,93,6,0,3,52.16581
6,104,1,0,4,46.66967
6,106,4,0,4,46.66967
6,129,1,0,5,36.63028
7,73,6,0,1,27.02044
7,93,8,0,3,52.16581
7,106,1,0,4,46.66967
7,107,2,0,4,46.66967
7,109,1,0,4,46.66967
7,129,10,0,5,36.63028
8,75,1,0,1,27.02044
8,94,1,0,3,52.16581
8,108,1,0,4,46.66967
8,141,1,0,7,63.23116
9,93,5,0,3,52.16581
9,109,1,0,4,46.66967
9,110,3,0,4,46.66967
9,129,1,0,5,36.63028
10,79,2,0,1,27.02044
10,80,1,0,1,27.02044
10,93,11,0,3,52.16581
10,110,1,0,4,46.66967
10,112,3,0,4,46.66967
10,129,10,0,5,36.63028
11,93,3,0,3,52.16581
11,113,1,0,4,46.66967
11,129,2,0,5,36.63028
12,93,19,0,3,52.16581
12,116,2,0,4,46.66967
12,117,2,0,4,46.66967
12,129,8,0,5,36.63028
12,139,1,0,6,54.70854
12,143,1,0,7,63.23116
12,144,1,0,7,63.23116
13,83,2,0,1,27.02044
13,94,17,0,3,52.16581
13,118,3,0,4,46.66967
13,131,12,0,5,36.63028
14,89,122,0,2,52.09777
14,95,146,0,3,52.16581
15,90,126,0,2,52.09777
15,95,146,0,3,52.16581
16,89,64,0,2,52.09777
17,90,64,0,2,52.09777
18,84,8,0,1,27.02044
18,87,8,0,1,27.02044
18,88,10,0,1,27.02044
18,91,391,0,2,52.09777
18,95,194,0,3,52.16581
18,96,506,0,3,52.16581
18,120,5,0,4,46.66967
18,122,22,0,4,46.66967
18,123,46,0,4,46.66967
18,129,13,0,5,36.63028
18,150,7,0,7,63.23116
19,84,27,0,1,27.02044
19,92,105,0,2,52.09777
19,95,154,0,3,52.16581
19,97,191,0,3,52.16581
19,98,26,0,3,52.16581
19,119,6,0,4,46.66967
19,121,26,0,4,46.66967
19,124,53,0,4,46.66967
19,131,20,0,5,36.63028
20,95,8,0,3,52.16581
21,95,8,0,3,52.16581
22,95,8,0,3,52.16581
23,95,14,0,3,52.16581
24,95,16,0,3,52.16581
25,95,8,0,3,52.16581
26,95,8,0,3,52.16581
27,95,8,0,3,52.16581
28,95,14,0,3,52.16581
29,95,14,0,3,52.16581
30,95,8,0,3,52.16581
31,95,78,0,3,52.16581
32,95,8,0,3,52.16581
33,95,14,0,3,52.16581
34,95,14,0,3,52.16581
35,95,8,0,3,52.16581
36,95,16,0,3,52.16581
37,95,20,0,3,52.16581
38,95,8,0,3,52.16581
39,95,8,0,3,52.16581
40,95,24,0,3,52.16581
41,95,10,0,3,52.16581
42,95,14,0,3,52.16581
43,95,8,0,3,52.16581
44,95,8,0,3,52.16581
45,95,8,0,3,52.16581
46,95,8,0,3,52.16581
47,95,18,0,3,52.16581
48,95,28,0,3,52.16581
49,95,8,0,3,52.16581
50,95,96,0,3,52.16581
51,95,40,0,3,52.16581
52,95,18,0,3,52.16581
53,95,8,0,3,52.16581
54,84,10,0,1,27.02044
54,85,9,0,1,27.02044
54,95,14,0,3,52.16581
54,96,13,0,3,52.16581
55,85,9,0,1,27.02044
55,87,8,0,1,27.02044
55,95,8,0,3,52.16581
55,96,9,0,3,52.16581
56,94,6,1,3,27.86241
56,100,2,1,4,45.59741
56,141,5,1,7,62.37958
57,93,2,1,3,27.86241
57,99,1,1,4,45.59741
57,141,1,1,7,62.37958
58,94,8,1,3,27.86241
58,100,8,1,4,45.59741
59,93,8,1,3,27.86241
59,101,5,1,4,45.59741
59,141,3,1,7,62.37958
60,93,5,1,3,27.86241
60,99,3,1,4,45.59741
61,94,8,1,3,27.86241
61,100,8,1,4,45.59741
62,93,2,1,3,27.86241
62,99,1,1,4,45.59741
63,94,6,1,3,27.86241
63,100,6,1,4,45.59741
64,94,15,1,3,27.86241
64,102,1,1,4,45.59741
64,105,3,1,4,45.59741
64,141,11,1,7,62.37958
65,94,10,1,3,27.86241
65,100,10,1,4,45.59741
66,93,4,1,3,27.86241
67,93,160,1,3,27.86241
68,94,160,1,3,27.86241
69,93,5,1,3,27.86241
69,104,4,1,4,45.59741
70,94,8,1,3,27.86241
70,100,8,1,4,45.59741
71,94,14,1,3,27.86241
71,105,1,1,4,45.59741
71,108,2,1,4,45.59741
71,141,11,1,7,62.37958
72,94,6,1,3,27.86241
72,100,6,1,4,45.59741
73,93,6,1,3,27.86241
74,94,8,1,3,27.86241
74,100,8,1,4,45.59741
75,94,13,1,3,27.86241
75,141,12,1,7,62.37958
76,94,11,1,3,27.86241
76,100,4,1,4,45.59741
76,125,6,1,5,47.69454
76,141,3,1,7,62.37958
77,93,5,1,3,27.86241
77,109,3,1,4,45.59741
78,94,22,1,3,27.86241
79,93,4,1,3,27.86241
80,93,4,1,3,27.86241
80,113,3,1,4,45.59741
81,94,14,1,3,27.86241
81,115,8,1,4,45.59741
81,141,4,1,7,62.37958
82,93,5,1,3,27.86241
82,114,2,1,4,45.59741
82,116,2,1,4,45.59741
82,129,1,1,5,47.69454
83,94,5,1,3,27.86241
83,115,1,1,4,45.59741
83,141,6,1,7,62.37958
84,91,4,1,2,55.38125
84,92,4,1,2,55.38125
84,95,35,1,3,27.86241
84,96,117,1,3,27.86241
84,97,243,1,3,27.86241
84,98,134,1,3,27.86241
84,135,6,1,5,47.69454
85,95,46,1,3,27.86241
85,96,156,1,3,27.86241
86,96,410,1,3,27.86241
87,95,21,1,3,27.86241
87,96,181,1,3,27.86241
88,96,210,1,3,27.86241
91,123,10,2,4,44.30011
91,140,405,2,6,6.56522
92,124,10,2,4,44.30011
92,135,1,2,5,47.88466
92,140,108,2,6,6.56522
93,99,20,3,4,54.92358
93,101,3,3,4,54.92358
93,103,3,3,4,54.92358
93,104,1,3,4,54.92358
93,106,1,3,4,54.92358
93,109,2,3,4,54.92358
93,110,1,3,4,54.92358
93,113,2,3,4,54.92358
93,114,1,3,4,54.92358
93,116,3,3,4,54.92358
93,126,7,3,5,65.52763
93,127,6,3,5,65.52763
93,128,5,3,5,65.52763
93,130,1,3,5,65.52763
93,137,4,3,6,53.60595
93,138,8,3,6,53.60595
93,139,171,3,6,53.60595
93,141,10,3,7,70.30027
94,100,45,3,4,54.92358
94,102,10,3,4,54.92358
94,105,1,3,4,54.92358
94,108,2,3,4,54.92358
94,111,3,3,4,54.92358
94,115,2,3,4,54.92358
94,125,1,3,5,65.52763
94,139,125,3,6,53.60595
94,141,19,3,7,70.30027
95,129,2,3,5,65.52763
95,131,2,3,5,65.52763
95,139,308,3,6,53.60595
99,141,34,4,7,18.55128
100,141,109,4,7,18.55128
101,141,8,4,7,18.55128
102,141,11,4,7,18.55128
103,141,4,4,7,18.55128
104,129,7,4,5,21.27363
105,141,5,4,7,18.55128
106,129,6,4,5,21.27363
107,129,2,4,5,21.27363
108,141,5,4,7,18.55128
109,129,7,4,5,21.27363
110,129,5,4,5,21.27363
111,141,3,4,7,18.55128
112,129,3,4,5,21.27363
113,129,6,4,5,21.27363
114,129,3,4,5,21.27363
115,141,11,4,7,18.55128
116,129,5,4,5,21.27363
117,129,1,4,5,21.27363
117,143,1,4,7,18.55128
118,141,5,4,7,18.55128
119,131,4,4,5,21.27363
120,150,3,4,7,18.55128
121,131,12,4,5,21.27363
122,150,12,4,7,18.55128
123,150,34,4,7,18.55128
124,131,41,4,5,21.27363
125,139,89,5,6,53.08289
125,141,182,5,7,31.44414
125,142,2,5,7,31.44414
126,141,35,5,7,31.44414
127,141,6,5,7,31.44414
128,138,1,5,6,53.08289
128,141,6,5,7,31.44414
129,139,73,5,6,53.08289
129,140,261,5,6,53.08289
129,141,614,5,7,31.44414
129,143,2,5,7,31.44414
129,144,3,5,7,31.44414
129,145,4,5,7,31.44414
129,146,4,5,7,31.44414
129,147,4,5,7,31.44414
129,148,6,5,7,31.44414
129,149,4,5,7,31.44414
129,150,136,5,7,31.44414
130,139,5,5,6,53.08289
130,141,6,5,7,31.44414
131,139,64,5,6,53.08289
131,140,280,5,6,53.08289
131,141,538,5,7,31.44414
132,139,4,5,6,53.08289
133,139,4,5,6,53.08289
134,139,4,5,6,53.08289
135,140,13,5,6,53.08289
136,141,420,6,7,62.49595
137,141,4,6,7,62.49595
138,141,7,6,7,62.49595
139,141,10,6,7,62.49595
139,142,2,6,7,62.49595
140,141,10,6,7,62.49595
140,150,20,6,7,62.49595
