step,source_region,target_region,source_palette_index,target_palette_index,source_pixels,shared_boundary_pixels,delta_e76,forced_by_tolerance
1,1,99,0,4,1,3,46.66967,True
2,2,56,0,1,1,1,27.02044,False
3,4,62,0,1,1,1,27.02044,False
4,8,75,0,1,1,1,27.02044,False
5,57,93,1,3,1,2,27.86241,False
6,107,7,4,0,1,2,46.66967,True
7,117,12,4,0,1,2,46.66967,True
8,132,139,5,6,1,4,53.08289,True
9,133,139,5,6,1,4,53.08289,True
10,134,139,5,6,1,4,53.08289,True
11,142,125,7,5,1,2,31.44414,False
12,143,129,7,5,1,2,31.44414,False
13,144,129,7,5,1,3,31.44414,False
14,145,129,7,5,1,4,31.44414,False
15,146,129,7,5,1,4,31.44414,False
16,147,129,7,5,1,4,31.44414,False
17,149,129,7,5,1,4,31.44414,False
18,3,93,0,3,2,4,52.16581,True
19,11,93,0,3,2,3,52.16581,True
20,62,93,1,3,2,3,27.86241,False
21,66,93,1,3,2,4,27.86241,False
22,79,93,1,3,2,4,27.86241,False
23,111,94,4,3,2,3,54.92358,True
24,112,10,4,0,2,3,46.66967,True
25,114,82,4,1,2,2,45.59741,True
26,137,141,6,7,2,4,62.49595,True
27,148,129,7,5,2,6,31.44414,False
28,60,93,1,3,3,5,27.86241,False
29,63,94,1,3,3,6,27.86241,False
30,72,94,1,3,3,6,27.86241,False
31,77,93,1,3,3,5,27.86241,False
32,80,93,1,3,3,4,27.86241,False
33,103,93,4,3,3,3,54.92358,True
34,118,13,4,0,3,3,46.66967,True
35,120,18,4,0,3,5,46.66967,True
36,127,141,5,7,3,6,31.44414,False
37,128,141,5,7,3,6,31.44414,False
38,130,141,5,7,3,6,31.44414,False
39,9,93,0,3,4,5,52.16581,True
40,20,95,0,3,4,8,52.16581,True
41,21,95,0,3,4,8,52.16581,True
42,22,95,0,3,4,8,52.16581,True
43,25,95,0,3,4,8,52.16581,True
44,26,95,0,3,4,8,52.16581,True
45,27,95,0,3,4,8,52.16581,True
46,30,95,0,3,4,8,52.16581,True
47,32,95,0,3,4,8,52.16581,True
48,35,95,0,3,4,8,52.16581,True
49,38,95,0,3,4,8,52.16581,True
50,39,95,0,3,4,8,52.16581,True
51,43,95,0,3,4,8,52.16581,True
52,44,95,0,3,4,8,52.16581,True
53,45,95,0,3,4,8,52.16581,True
54,46,95,0,3,4,8,52.16581,True
55,49,95,0,3,4,8,52.16581,True
56,53,95,0,3,4,8,52.16581,True
57,58,94,1,3,4,8,27.86241,False
58,59,93,1,3,4,8,27.86241,False
59,61,94,1,3,4,8,27.86241,False
60,69,93,1,3,4,5,27.86241,False
61,70,94,1,3,4,8,27.86241,False
62,74,94,1,3,4,8,27.86241,False
63,101,93,4,3,4,8,54.92358,True
64,105,64,4,1,4,3,45.59741,True
65,108,71,4,1,4,2,45.59741,True
66,110,93,4,3,4,4,54.92358,True
67,119,19,4,0,4,6,46.66967,True
68,138,141,6,7,4,8,62.49595,True
69,5,93,0,3,5,7,52.16581,True
70,6,93,0,3,5,6,52.16581,True
71,65,94,1,3,5,10,27.86241,False
72,73,7,1,0,5,6,27.02044,False
73,106,93,4,3,5,5,54.92358,True
74,113,93,4,3,5,6,54.92358,True
75,116,82,4,1,5,2,45.59741,True
76,41,95,0,3,6,10,52.16581,True
77,83,94,1,3,6,5,27.86241,False
78,104,93,4,3,6,7,54.92358,True
79,109,93,4,3,6,6,54.92358,True
80,56,94,1,3,7,6,27.86241,False
81,78,94,1,3,8,22,27.86241,False
82,23,95,0,3,10,14,52.16581,True
83,28,95,0,3,10,14,52.16581,True
84,29,95,0,3,10,14,52.16581,True
85,33,95,0,3,10,14,52.16581,True
86,34,95,0,3,10,14,52.16581,True
87,42,95,0,3,10,14,52.16581,True
88,102,94,4,3,10,10,54.92358,True
89,115,81,4,1,10,8,45.59741,True
90,36,95,0,3,11,16,52.16581,True
91,82,93,1,3,11,9,27.86241,False
92,24,95,0,3,12,16,52.16581,True
93,47,95,0,3,13,18,52.16581,True
94,52,95,0,3,13,18,52.16581,True
95,75,94,1,3,13,14,27.86241,False
96,76,94,1,3,13,11,27.86241,False
97,10,93,0,3,14,15,52.16581,True
98,37,95,0,3,14,20,52.16581,True
99,40,95,0,3,16,24,52.16581,True
100,71,94,1,3,17,17,27.86241,False
101,7,93,0,3,18,16,52.16581,True
102,64,94,1,3,18,18,27.86241,False
103,135,140,5,6,19,13,53.08289,True
104,48,95,0,3,21,28,52.16581,True
105,81,94,1,3,22,17,27.86241,False
106,99,93,4,3,29,28,54.92358,True
107,51,95,0,3,32,40,52.16581,True
108,13,94,0,3,36,19,52.16581,True
109,12,93,0,3,40,21,52.16581,True
110,122,18,4,0,52,22,46.66967,True
111,121,19,4,0,54,26,46.66967,True
112,55,85,0,1,58,9,27.02044,False
113,126,141,5,7,69,35,31.44414,False
114,50,95,0,3,77,96,52.16581,True
115,54,84,0,1,79,10,27.02044,False
