region_id,palette_index,number,status,reason,x_px,y_px,clearance_mm,font_size_mm
1,0,1,skipped,zone_trop_etroite,317.5,260.5,0.51667,0.0
2,0,1,skipped,zone_trop_etroite,418.5,270.5,0.51667,0.0
3,0,1,skipped,zone_trop_etroite,333.5,267.5,1.29167,0.0
4,0,1,skipped,zone_trop_etroite,401.5,267.5,1.29167,0.0
5,0,1,placed,,273.5,305.5,1.57138,2.24276
6,0,1,placed,,462.5,305.5,1.55,2.2
7,0,1,placed,,367.5,300.5,1.63384,2.36769
8,1,2,placed,,319.5,189.5,3.15336,2.8
9,1,2,placed,,432.5,192.5,3.12145,2.8
10,1,2,skipped,zone_trop_etroite,396.5,370.5,1.06514,0.0
11,1,2,skipped,zone_trop_etroite,377.5,373.5,1.09602,0.0
12,1,2,skipped,zone_trop_etroite,327.5,428.5,1.03333,0.0
13,1,2,skipped,zone_trop_etroite,362.5,374.5,0.93143,0.0
14,1,2,skipped,zone_trop_etroite,340.5,410.5,0.775,0.0
15,2,3,placed,,323.5,265.5,1.55,2.2
16,2,3,placed,,412.5,265.5,1.55,2.2
17,2,3,skipped,zone_trop_etroite,263.5,349.5,1.29167,0.0
18,2,3,skipped,zone_trop_etroite,472.5,350.5,1.29167,0.0
19,3,4,placed,,298.5,214.5,3.02371,2.8
20,3,4,placed,,403.5,207.5,3.47552,2.8
21,3,4,placed,,329.5,319.5,9.3,2.8
22,3,4,placed,,384.5,456.5,6.03085,2.8
23,3,4,placed,,448.5,356.5,3.76139,2.8
24,3,4,placed,,406.5,376.5,1.8807,2.8
25,4,5,skipped,zone_trop_etroite,417.5,170.5,0.36534,0.0
26,4,5,placed,,269.5,319.5,1.57138,2.24276
27,4,5,placed,,466.5,319.5,1.57138,2.24276
28,5,6,placed,,353.5,177.5,3.15336,2.8
29,5,6,placed,,140.5,270.5,17.3776,2.8
30,5,6,placed,,573.5,286.5,18.94836,2.8
31,6,7,placed,,585.5,101.5,13.5545,2.8
32,6,7,placed,,371.5,202.5,3.30828,2.8
33,6,7,placed,,170.5,439.5,26.09167,2.8
34,7,8,placed,,207.5,96.5,25.05833,2.8
35,7,8,placed,,252.5,329.5,2.3106,2.8
