region_id,palette_index,pixel_count,pixel_percent,area_mm2,min_x,min_y,max_x,max_y,width,height,centroid_x,centroid_y,max_thickness_mm,aspect_ratio,compactness,is_below_area_threshold,is_thin
1,0,284,0.073045,18.953056,315,247,350,283,36,37,332.5,265.21831,1.033333,1.027778,0.049689,False,True
2,0,282,0.072531,18.819583,385,247,420,283,36,37,403.141844,265.22695,1.033333,1.027778,0.047898,False,True
3,0,179,0.046039,11.945764,329,257,338,278,10,22,333.312849,267.26257,2.583333,2.2,0.549165,False,False
4,0,172,0.044239,11.478611,397,257,406,278,10,22,401.5,267.267442,2.583333,2.2,0.527689,False,False
5,0,2727,0.701389,181.989375,266,285,450,487,185,203,321.623762,401.827649,3.142761,1.097297,0.023877,False,False
6,0,1423,0.365998,94.965486,401,285,469,432,69,148,451.494729,351.534083,3.1,2.144928,0.051024,False,False
7,0,211,0.05427,14.081319,356,294,378,309,23,16,367.379147,299.199052,3.267687,1.4375,0.435816,False,False
8,1,829,0.21322,55.324236,304,162,340,204,37,43,318.352232,187.247286,6.30672,1.162162,0.406934,False,False
9,1,832,0.213992,55.524444,412,162,444,208,33,47,432.377404,188.824519,6.242907,1.424242,0.408407,False,False
10,1,1271,0.326903,84.821597,382,353,456,437,75,85,418.040126,395.535012,2.130271,1.133333,0.042366,False,False
11,1,477,0.122685,31.833125,366,355,405,423,40,69,382.165618,390.396226,2.192031,1.725,0.107623,False,False
12,1,801,0.206019,53.455625,300,363,349,440,50,78,318.011236,405.197253,2.066667,1.56,0.059879,False,False
13,1,416,0.106996,27.762222,356,364,386,432,31,69,364.858173,401.896635,1.862868,2.225806,0.109999,False,False
14,1,422,0.108539,28.162639,337,372,367,441,31,70,345.99763,409.85782,1.55,2.258065,0.109566,False,False
15,2,571,0.146862,38.106319,318,250,347,280,30,31,332.245184,264.707531,3.1,1.033333,0.207405,False,False
16,2,587,0.150977,39.174097,387,250,417,281,31,32,402.279387,264.81431,3.1,1.032258,0.204334,False,False
17,2,1337,0.343879,89.226181,259,338,454,491,196,154,321.239342,429.555722,2.583333,1.272727,0.025608,False,False
18,2,533,0.137088,35.570347,454,345,476,433,23,89,468.988743,382.733583,2.583333,3.869565,0.128845,False,False
19,3,2990,0.769033,199.540972,285,132,363,228,79,97,314.571237,192.129766,6.047428,1.227848,0.143331,False,False
20,3,3124,0.803498,208.483611,379,134,456,236,78,103,427.075544,196.043854,6.951039,1.320513,0.142974,False,False
21,3,17852,4.591564,1191.373056,276,221,459,369,184,149,367.157013,297.883823,18.6,1.234899,0.168455,False,False
22,3,12583,3.236368,839.740486,272,325,445,481,174,157,347.057697,419.628864,12.061705,1.10828,0.061613,False,False
23,3,2901,0.746142,193.601458,418,325,462,428,45,104,442.628404,378.951396,7.52278,2.311111,0.193543,False,False
24,3,604,0.15535,40.308611,399,362,418,415,20,54,407.662252,387.293046,3.76139,2.7,0.296488,False,False
25,4,111,0.028549,7.407708,401,132,450,189,50,58,426.288288,159.18018,0.730677,1.16,0.029897,True,True
26,4,311,0.07999,20.754931,260,310,276,337,17,28,267.495177,323.633441,3.142761,1.647059,0.482487,False,False
27,4,380,0.097737,25.359722,459,311,475,345,17,35,467.947368,326.9,3.142761,2.058824,0.441496,False,False
28,5,1349,0.346965,90.027014,326,133,398,193,73,61,352.276501,170.401038,6.30672,1.196721,0.216225,False,False
29,5,28663,7.372171,1912.857153,3,163,293,337,291,175,157.287653,271.560514,34.755195,1.662857,0.257808,False,False
30,5,29870,7.682613,1993.407639,447,186,719,381,273,196,589.356846,298.443857,37.896716,1.392857,0.351078,False,False
31,6,8733,2.246142,582.806458,533,49,637,153,105,105,584.881828,101.118172,27.109003,1.0,0.622121,False,False
32,6,3413,0.877829,227.770347,276,166,459,282,184,117,365.593027,229.026663,6.616562,1.57265,0.059642,False,False
33,6,111864,28.771605,7465.368333,0,323,719,539,720,217,341.911142,451.837526,52.183333,3.317972,0.294171,False,False
34,7,149790,38.526235,9996.402083,0,0,719,322,720,323,349.721243,115.82416,50.116667,2.229102,0.15705,False,False
35,7,908,0.233539,60.596389,241,264,270,337,30,74,257.952643,308.802863,4.621207,2.466667,0.253877,False,False
