region_id,palette_index,pixel_count,pixel_percent,area_mm2,min_x,min_y,max_x,max_y,width,height,centroid_x,centroid_y,max_thickness_mm,aspect_ratio,compactness,is_below_area_threshold,is_thin
1,0,1,0.000257,0.066736,299,134,299,134,1,1,299.0,134.0,0.516667,1.0,0.785398,True,True
2,0,1,0.000257,0.066736,450,134,450,134,1,1,450.0,134.0,0.516667,1.0,0.785398,True,True
3,0,2,0.000514,0.133472,308,144,309,145,2,2,308.5,144.5,0.516667,1.0,0.392699,True,True
4,0,1,0.000257,0.066736,296,149,296,149,1,1,296.0,149.0,0.516667,1.0,0.785398,True,True
5,0,5,0.001286,0.333681,294,161,294,165,1,5,294.0,163.0,0.516667,5.0,0.436332,True,True
6,0,5,0.001286,0.333681,293,171,293,175,1,5,293.0,173.0,0.516667,5.0,0.436332,True,True
7,0,12,0.003086,0.800833,291,177,292,188,2,12,291.416667,182.5,0.516667,6.0,0.192342,True,True
8,0,1,0.000257,0.066736,453,185,453,185,1,1,453.0,185.0,0.516667,1.0,0.785398,True,True
9,0,4,0.001029,0.266944,290,194,290,197,1,4,290.0,195.5,0.516667,4.0,0.502655,True,True
10,0,12,0.003086,0.800833,288,199,289,210,2,12,288.583333,204.5,0.516667,6.0,0.192342,True,True
11,0,2,0.000514,0.133472,287,216,287,217,1,2,287.0,216.5,0.516667,2.0,0.698132,True,True
12,0,39,0.010031,2.602708,285,223,295,228,11,6,289.897436,225.512821,1.155302,1.833333,0.423952,True,True
13,0,33,0.008488,2.202292,446,230,455,236,10,7,450.333333,233.090909,1.033333,1.428571,0.358729,True,True
14,0,284,0.073045,18.953056,315,247,350,283,36,37,332.5,265.21831,1.033333,1.027778,0.049689,False,True
15,0,282,0.072531,18.819583,385,247,420,283,36,37,403.141844,265.22695,1.033333,1.027778,0.047898,False,True
16,0,179,0.046039,11.945764,329,257,338,278,10,22,333.312849,267.26257,2.583333,2.2,0.549165,False,False
17,0,172,0.044239,11.478611,397,257,406,278,10,22,401.5,267.267442,2.583333,2.2,0.527689,False,False
18,0,2672,0.687243,178.318889,266,285,450,487,185,203,322.691991,403.836078,2.583333,1.097297,0.022934,False,False
19,0,1365,0.35108,91.094792,401,285,469,432,69,148,450.928205,353.555311,2.583333,2.144928,0.046402,False,False
20,0,4,0.001029,0.266944,281,288,282,289,2,2,281.5,288.5,0.516667,1.0,0.785398,True,True
21,0,4,0.001029,0.266944,287,289,288,290,2,2,287.5,289.5,0.516667,1.0,0.785398,True,True
22,0,4,0.001029,0.266944,447,289,448,290,2,2,447.5,289.5,0.516667,1.0,0.785398,True,True
23,0,10,0.002572,0.667361,293,290,297,291,5,2,295.0,290.5,0.516667,2.5,0.641141,True,True
