region_id,palette_index,number,status,reason,x_px,y_px,clearance_mm,font_size_mm
1,0,1,skipped,zone_trop_etroite,502.5,249.5,0.79885,0.0
2,0,1,skipped,zone_trop_etroite,374.5,427.5,1.1625,0.0
3,0,1,skipped,zone_trop_etroite,606.5,427.5,1.1625,0.0
4,0,1,skipped,zone_trop_etroite,423.5,346.5,0.43324,0.0
5,0,1,skipped,zone_trop_etroite,516.5,346.5,0.43324,0.0
6,0,1,placed,,444.5,356.5,1.35625,1.8125
7,0,1,placed,,535.5,356.5,1.35625,1.8125
8,0,1,placed,,490.5,400.5,1.73295,2.56591
9,1,2,placed,,425.5,252.5,3.17774,2.8
10,1,2,placed,,575.5,255.5,3.15402,2.8
11,1,2,skipped,zone_trop_etroite,600.5,578.5,1.17854,0.0
12,1,2,skipped,zone_trop_etroite,436.5,570.5,0.96875,0.0
13,1,2,skipped,zone_trop_etroite,486.5,496.5,0.98794,0.0
14,1,2,skipped,zone_trop_etroite,454.5,548.5,0.775,0.0
15,2,3,placed,,465.5,229.5,3.15402,2.8
16,2,3,placed,,187.5,361.5,17.4375,2.8
17,2,3,placed,,764.5,382.5,18.92413,2.8
18,3,4,placed,,431.5,351.5,1.37002,1.84004
19,3,4,placed,,549.5,351.5,1.37002,1.84004
20,3,4,placed,,233.5,585.5,26.15625,2.8
21,4,5,placed,,490.5,300.5,9.18015,2.8
22,4,5,placed,,513.5,608.5,6.00625,2.8
23,4,5,placed,,597.5,475.5,3.70159,2.8
24,4,5,placed,,541.5,505.5,1.9375,2.8
25,5,6,placed,,455.5,83.5,16.275,2.8
26,6,7,placed,,880.5,247.5,15.48183,2.8
27,6,7,placed,,74.5,239.5,14.3375,2.8
28,6,7,placed,,425.5,192.5,2.19203,2.8
29,6,7,skipped,zone_trop_etroite,355.5,372.5,0.96875,0.0
30,6,7,placed,,346.5,432.5,3.49288,2.8
31,7,8,placed,,780.5,135.5,13.64666,2.8
